epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.36077,1.5299,3.56019,1.22438,0.04,0.5,0.02319,0.00885,1.15817,3.49117,1.01816,6e-05,6e-05,6e-05
2,13.9108,1.16869,3.1398,1.03433,0.076,0.95,0.12456,0.06426,1.14362,3.32254,0.94473,0.00012614,0.00012614,0.00012614
3,20.3609,1.07078,2.2502,0.94939,0.07533,0.94167,0.14313,0.06966,1.1246,3.1785,0.95822,0.00017644,0.00017644,0.00017644
4,26.5217,1.0131,1.35923,0.94723,0.07733,0.96667,0.64056,0.34388,1.11221,2.85824,0.9551,0.0002109,0.0002109,0.0002109
5,32.628,0.90305,1.02846,0.92194,0.07933,0.99167,0.84723,0.49707,1.04027,2.65128,0.93188,0.00022952,0.00022952,0.00022952
6,38.7519,0.90738,0.95067,0.92495,0.07933,0.99167,0.87583,0.57387,1.02964,2.51835,0.94091,0.0002323,0.0002323,0.0002323
7,44.9088,0.86724,0.91009,0.90522,0.13074,0.98333,0.86852,0.5799,0.99896,2.46021,0.91769,0.00021924,0.00021924,0.00021924
8,51.076,0.78412,0.82707,0.89279,0.54639,0.91667,0.87743,0.60697,0.92783,2.39976,0.90235,0.00019034,0.00019034,0.00019034
9,57.2662,0.82574,0.82582,0.89593,0.94413,0.70419,0.88401,0.62896,0.89303,2.33454,0.89398,0.0001456,0.0001456,0.0001456
10,63.4808,0.83956,0.81021,0.89486,0.92366,0.40334,0.8847,0.63083,0.88364,2.25449,0.89221,8.502e-05,8.502e-05,8.502e-05
